File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF936JMD	bed narrowPeak	optimal IDR thresholded peaks	ENCSR814KIO	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CBX5-human	DNA					False	2016-12-06	ENCODE				1, 2							ENCFF001TDO, ENCFF110RXK, ENCFF299IER, ENCFF535NEK	6175	ENCODE Processing Pipeline	61b1575a3c471b239c764df28bd2e3d1		https://www.encodeproject.org/files/ENCFF936JMD/@@download/ENCFF936JMD.bed.gz	hg19				released	s3://encode-public/2016/12/03/ded4db78-16d8-4796-806b-c56502b94b61/ENCFF936JMD.bed.gz				
ENCFF002CJO	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BHO	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										TAF1-human	DNA					False	2011-07-18	ENCODE												424230	ENCODE Consortium Analysis Working Group	8c2f6676e4f0bfee35ce23fb53b922e8		https://www.encodeproject.org/files/ENCFF002CJO/@@download/ENCFF002CJO.bed.gz	hg19				archived	s3://encode-public/2014/06/06/22e42d15-5019-473b-8d1c-25214b99e5d2/ENCFF002CJO.narrowPeak.gz				
ENCFF202SNU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BHO	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										TAF1-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF084XPA, ENCFF361YHU, ENCFF967ZPP	484992	ENCODE Processing Pipeline	80c3d936154d88a4a35c94bd1f3b8842		https://www.encodeproject.org/files/ENCFF202SNU/@@download/ENCFF202SNU.bed.gz	hg19				released	s3://encode-public/2017/12/08/4d7c89c2-f330-4d86-8d34-b8831477e512/ENCFF202SNU.bed.gz				
ENCFF002CJC	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BKK	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										EP300-human	DNA					False	2011-07-18	ENCODE												172643	ENCODE Consortium Analysis Working Group	3ba20ad9a7095da9d8291d8161c18e87		https://www.encodeproject.org/files/ENCFF002CJC/@@download/ENCFF002CJC.bed.gz	hg19				archived	s3://encode-public/2014/06/06/8e8aff10-d3ba-4fb2-b9e5-df2bddb4ba97/ENCFF002CJC.narrowPeak.gz				
ENCFF843SYD	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BKK	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										EP300-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF380YEP, ENCFF532VDQ, ENCFF684GVN	241631	ENCODE Processing Pipeline	c06ac8027f55d91b669cebbc14184c53		https://www.encodeproject.org/files/ENCFF843SYD/@@download/ENCFF843SYD.bed.gz	hg19				released	s3://encode-public/2017/07/07/fb4f0728-a64c-44ba-834f-20f0e2d8ca4e/ENCFF843SYD.bed.gz				
ENCFF002CJE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BHN	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										POLR2A-human	DNA					False	2011-07-18	ENCODE												506280	ENCODE Consortium Analysis Working Group	4e11e8ea1d8d30a05af469d92507d4e8		https://www.encodeproject.org/files/ENCFF002CJE/@@download/ENCFF002CJE.bed.gz	hg19				archived	s3://encode-public/2014/06/06/aaac2aea-1228-464c-91bb-9c9f7df02461/ENCFF002CJE.narrowPeak.gz				
ENCFF468LYO	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BHN	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										POLR2A-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF281JKH, ENCFF389PNH, ENCFF918SPH	654530	ENCODE Processing Pipeline	ba4bfac04ac18497eed776496e712a6c		https://www.encodeproject.org/files/ENCFF468LYO/@@download/ENCFF468LYO.bed.gz	hg19				released	s3://encode-public/2017/12/08/2f4b7c7b-5dfb-45e2-b8d9-d2a8b1f9436e/ENCFF468LYO.bed.gz				
ENCFF583YFS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR160ZLP	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										KDM5A-human	DNA					False	2012-03-06	ENCODE				1, 2							ENCFF001TDO, ENCFF422YEP, ENCFF578WGS, ENCFF897HUQ	70823	ENCODE Processing Pipeline	ec439f6a6be60227055be00080dcf263		https://www.encodeproject.org/files/ENCFF583YFS/@@download/ENCFF583YFS.bed.gz	hg19				released	s3://encode-public/2017/03/14/e7ad656f-a221-4376-9df6-3172d3d1ad0b/ENCFF583YFS.bed.gz				
ENCFF336HCY	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ATS	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SUZ12-human	DNA					False	2012-08-06	ENCODE				1, 3							ENCFF001TDO, ENCFF371ZTN, ENCFF588OJE, ENCFF907MBG	339267	ENCODE Processing Pipeline	8fce81d8aa02bb6084375e79f029bba9		https://www.encodeproject.org/files/ENCFF336HCY/@@download/ENCFF336HCY.bed.gz	hg19				released	s3://encode-public/2017/03/14/632b3e4b-cff2-40f2-a11c-338b49ebbcc8/ENCFF336HCY.bed.gz				
ENCFF628RLE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000AVA	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CHD7-human	DNA					False	2012-08-06	ENCODE				1, 2							ENCFF001TDO, ENCFF061FAC, ENCFF532HJO, ENCFF791IYQ	124647	ENCODE Processing Pipeline	aa2db3fc9463f50dc7d4355659b1e0c8		https://www.encodeproject.org/files/ENCFF628RLE/@@download/ENCFF628RLE.bed.gz	hg19				released	s3://encode-public/2017/03/10/67a40210-51ce-4f27-a7d7-a412c23c3047/ENCFF628RLE.bed.gz				
ENCFF687NII	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ATK	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										PHF8-human	DNA					False	2012-08-06	ENCODE				1, 2							ENCFF001TDO, ENCFF102HLC, ENCFF103CHJ, ENCFF180QIK	395597	ENCODE Processing Pipeline	a4637b1ddc963d77f016a7ee2a675935		https://www.encodeproject.org/files/ENCFF687NII/@@download/ENCFF687NII.bed.gz	hg19				released	s3://encode-public/2017/03/15/6f123a97-5474-4958-acaf-956b7395f32e/ENCFF687NII.bed.gz				
ENCFF002CDR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000AQK	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CHD1-human	DNA					False	2012-03-06	ENCODE												188338	ENCODE Consortium Analysis Working Group	1a3c274382e03b2aa6fb691837895fba		https://www.encodeproject.org/files/ENCFF002CDR/@@download/ENCFF002CDR.bed.gz	hg19				archived	s3://encode-public/2014/06/06/94a0cadd-a653-477f-baef-d6d358a63662/ENCFF002CDR.narrowPeak.gz				
ENCFF617RGJ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000AQK	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CHD1-human	DNA					False	2012-03-06	ENCODE				1, 2							ENCFF001TDO, ENCFF107CSR, ENCFF975RMA, ENCFF996PWC	168337	ENCODE Processing Pipeline	26d5177bf6655b63dcbaf3942dbc9702		https://www.encodeproject.org/files/ENCFF617RGJ/@@download/ENCFF617RGJ.bed.gz	hg19				released	s3://encode-public/2017/03/13/655ecf46-18be-4b20-be1e-6a1f493479a4/ENCFF617RGJ.bed.gz				
ENCFF768BPC	bed narrowPeak	optimal IDR thresholded peaks	ENCSR418RRF	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										KDM1A-human	DNA					False	2016-12-06	ENCODE				1, 2							ENCFF001TDO, ENCFF039BYF, ENCFF082PNM, ENCFF712NLB	348369	ENCODE Processing Pipeline	d359d1a080e0eb9236168fd93e3a2dff		https://www.encodeproject.org/files/ENCFF768BPC/@@download/ENCFF768BPC.bed.gz	hg19				released	s3://encode-public/2016/12/03/05a5e3a3-a572-4372-aef4-f80cba45ee94/ENCFF768BPC.bed.gz				
ENCFF002CDS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000AMF	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CTCF-human	DNA					False	2011-02-10	ENCODE				1							ENCFF000AVI, ENCFF000AVK	1381027	ENCODE Consortium Analysis Working Group	5042afb91f822356fa7b9d16c6d94e94		https://www.encodeproject.org/files/ENCFF002CDS/@@download/ENCFF002CDS.bed.gz	hg19				archived	s3://encode-public/2014/06/06/673f78f6-7a40-408c-ad45-c2c05253db07/ENCFF002CDS.narrowPeak.gz				
ENCFF485WCF	bed narrowPeak	optimal IDR thresholded peaks	ENCSR771SNW	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CBX8-human	DNA					False	2016-12-06	ENCODE				1, 2							ENCFF001TDO, ENCFF384XYJ, ENCFF405QLV, ENCFF485GXE	50127	ENCODE Processing Pipeline	64865d8a339096577e031f83de5b9e37		https://www.encodeproject.org/files/ENCFF485WCF/@@download/ENCFF485WCF.bed.gz	hg19				released	s3://encode-public/2016/12/03/fcd8c9d0-d4ea-45ca-8034-31249a4b3955/ENCFF485WCF.bed.gz				
